LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
18.25,-106.75,2021,1,1,4.54,5.48,0.62,364.77,85.57,102.67,11.25,0.28,1.52
18.25,-106.25,2021,1,1,4.54,5.48,0.62,364.77,85.57,102.67,11.25,0.28,1.52
18.25,-105.75,2021,1,1,4.78,5.48,0.65,369.29,89.95,102.4,11.71,0.29,1.54
18.25,-105.25,2021,1,1,4.78,5.48,0.65,369.29,89.95,102.4,11.71,0.29,1.54
18.25,-104.75,2021,1,1,5.4,5.48,0.73,348.84,101.39,102.89,12.73,0.31,1.58
18.25,-104.25,2021,1,1,5.4,5.48,0.73,348.84,101.39,102.89,12.73,0.31,1.58
18.25,-103.75,2021,1,1,5.59,5.55,0.76,316.8,103.3,102.73,12.87,0.32,1.62
18.25,-103.25,2021,1,1,5.59,5.55,0.76,316.8,103.3,102.73,12.87,0.32,1.62
18.25,-102.75,2021,1,1,5.67,5.62,0.77,287.4,103.93,103.26,13.07,0.33,1.66
18.25,-102.25,2021,1,1,5.67,5.62,0.77,287.4,103.93,103.26,13.07,0.33,1.66
18.25,-101.75,2021,1,1,5.58,5.54,0.76,315.59,103.57,103.05,13.01,0.33,1.66
18.25,-101.25,2021,1,1,5.58,5.54,0.76,315.59,103.57,103.05,13.01,0.33,1.66
18.25,-100.75,2021,1,1,5.38,5.43,0.73,329.62,100.55,101.65,12.57,0.3,-999.0
18.25,-100.25,2021,1,1,5.38,5.43,0.73,329.62,100.55,101.65,12.57,0.3,-999.0
18.25,-99.75,2021,1,1,5.49,5.47,0.74,300.32,98.91,98.85,12.56,0.32,1.66
18.25,-99.25,2021,1,1,5.49,5.47,0.74,300.32,98.91,98.85,12.56,0.32,1.66
18.25,-98.75,2021,1,1,5.52,5.48,0.74,301.96,99.22,98.96,12.59,0.32,1.65
18.25,-98.25,2021,1,1,5.52,5.48,0.74,301.96,99.22,98.96,12.59,0.32,1.65
18.25,-97.75,2021,1,1,5.42,5.53,0.73,290.39,97.37,99.92,12.59,0.33,1.68
18.25,-97.25,2021,1,1,5.42,5.53,0.73,290.39,97.37,99.92,12.59,0.33,1.68
18.75,-106.75,2021,1,1,4.54,5.48,0.62,364.77,85.57,102.67,11.25,0.28,1.52
18.75,-106.25,2021,1,1,4.54,5.48,0.62,364.77,85.57,102.67,11.25,0.28,1.52
18.75,-105.75,2021,1,1,4.78,5.48,0.65,369.29,89.95,102.4,11.71,0.29,1.54
18.75,-105.25,2021,1,1,4.78,5.48,0.65,369.29,89.95,102.4,11.71,0.29,1.54
18.75,-104.75,2021,1,1,5.4,5.48,0.73,348.84,101.39,102.89,12.73,0.31,1.58
18.75,-104.25,2021,1,1,5.4,5.48,0.73,348.84,101.39,102.89,12.73,0.31,1.58
18.75,-103.75,2021,1,1,5.59,5.55,0.76,316.8,103.3,102.73,12.87,0.32,1.62
18.75,-103.25,2021,1,1,5.59,5.55,0.76,316.8,103.3,102.73,12.87,0.32,1.62
18.75,-102.75,2021,1,1,5.67,5.62,0.77,287.4,103.93,103.26,13.07,0.33,1.66
18.75,-102.25,2021,1,1,5.67,5.62,0.77,287.4,103.93,103.26,13.07,0.33,1.66
18.75,-101.75,2021,1,1,5.58,5.54,0.76,315.59,103.57,103.05,13.01,0.33,1.66
18.75,-101.25,2021,1,1,5.58,5.54,0.76,315.59,103.57,103.05,13.01,0.33,1.66
18.75,-100.75,2021,1,1,5.38,5.43,0.73,329.62,100.55,101.65,12.57,0.3,-999.0
18.75,-100.25,2021,1,1,5.38,5.43,0.73,329.62,100.55,101.65,12.57,0.3,-999.0
18.75,-99.75,2021,1,1,5.49,5.47,0.74,300.32,98.91,98.85,12.56,0.32,1.66
18.75,-99.25,2021,1,1,5.49,5.47,0.74,300.32,98.91,98.85,12.56,0.32,1.66
18.75,-98.75,2021,1,1,5.52,5.48,0.74,301.96,99.22,98.96,12.59,0.32,1.65
18.75,-98.25,2021,1,1,5.52,5.48,0.74,301.96,99.22,98.96,12.59,0.32,1.65
18.75,-97.75,2021,1,1,5.42,5.53,0.73,290.39,97.37,99.92,12.59,0.33,1.68
18.75,-97.25,2021,1,1,5.42,5.53,0.73,290.39,97.37,99.92,12.59,0.33,1.68
19.25,-106.75,2021,1,1,4.26,5.39,0.59,347.85,80.41,100.8,10.73,0.27,1.4
19.25,-106.25,2021,1,1,4.26,5.39,0.59,347.85,80.41,100.8,10.73,0.27,1.4
19.25,-105.75,2021,1,1,4.71,5.39,0.65,341.01,87.99,100.4,11.38,0.27,1.45
19.25,-105.25,2021,1,1,4.71,5.39,0.65,341.01,87.99,100.4,11.38,0.27,1.45
19.25,-104.75,2021,1,1,5.31,5.55,0.73,294.38,96.26,100.98,12.14,0.3,1.52
19.25,-104.25,2021,1,1,5.31,5.55,0.73,294.38,96.26,100.98,12.14,0.3,1.52
19.25,-103.75,2021,1,1,5.65,5.62,0.78,268.52,101.45,101.34,12.88,0.32,1.62
19.25,-103.25,2021,1,1,5.65,5.62,0.78,268.52,101.45,101.34,12.88,0.32,1.62
19.25,-102.75,2021,1,1,5.62,5.58,0.77,280.34,101.8,101.39,12.94,0.32,1.63
19.25,-102.25,2021,1,1,5.62,5.58,0.77,280.34,101.8,101.39,12.94,0.32,1.63
19.25,-101.75,2021,1,1,5.67,5.63,0.78,253.89,101.49,101.09,13.04,0.33,1.67
19.25,-101.25,2021,1,1,5.67,5.63,0.78,253.89,101.49,101.09,13.04,0.33,1.67
19.25,-100.75,2021,1,1,5.67,5.64,0.78,255.73,101.4,101.07,13.05,0.33,1.68
19.25,-100.25,2021,1,1,5.67,5.64,0.78,255.73,101.4,101.07,13.05,0.33,1.68
19.25,-99.75,2021,1,1,5.54,5.53,0.77,233.55,96.13,96.33,12.58,0.33,1.67
19.25,-99.25,2021,1,1,5.54,5.53,0.77,233.55,96.13,96.33,12.58,0.33,1.67
19.25,-98.75,2021,1,1,5.54,5.52,0.77,240.61,96.55,96.48,12.62,0.33,1.68
19.25,-98.25,2021,1,1,5.54,5.52,0.77,240.61,96.55,96.48,12.62,0.33,1.68
19.25,-97.75,2021,1,1,4.84,5.5,0.66,286.66,86.15,98.56,11.36,0.29,1.52
19.25,-97.25,2021,1,1,4.84,5.5,0.66,286.66,86.15,98.56,11.36,0.29,1.52
19.75,-106.75,2021,1,1,4.26,5.39,0.59,347.85,80.41,100.8,10.73,0.27,1.4
19.75,-106.25,2021,1,1,4.26,5.39,0.59,347.85,80.41,100.8,10.73,0.27,1.4
19.75,-105.75,2021,1,1,4.71,5.39,0.65,341.01,87.99,100.4,11.38,0.27,1.45
19.75,-105.25,2021,1,1,4.71,5.39,0.65,341.01,87.99,100.4,11.38,0.27,1.45
19.75,-104.75,2021,1,1,5.31,5.55,0.73,294.38,96.26,100.98,12.14,0.3,1.52
19.75,-104.25,2021,1,1,5.31,5.55,0.73,294.38,96.26,100.98,12.14,0.3,1.52
19.75,-103.75,2021,1,1,5.65,5.62,0.78,268.52,101.45,101.34,12.88,0.32,1.62
19.75,-103.25,2021,1,1,5.65,5.62,0.78,268.52,101.45,101.34,12.88,0.32,1.62
19.75,-102.75,2021,1,1,5.62,5.58,0.77,280.34,101.8,101.39,12.94,0.32,1.63
19.75,-102.25,2021,1,1,5.62,5.58,0.77,280.34,101.8,101.39,12.94,0.32,1.63
19.75,-101.75,2021,1,1,5.67,5.63,0.78,253.89,101.49,101.09,13.04,0.33,1.67
19.75,-101.25,2021,1,1,5.67,5.63,0.78,253.89,101.49,101.09,13.04,0.33,1.67
19.75,-100.75,2021,1,1,5.67,5.64,0.78,255.73,101.4,101.07,13.05,0.33,1.68
19.75,-100.25,2021,1,1,5.67,5.64,0.78,255.73,101.4,101.07,13.05,0.33,1.68
19.75,-99.75,2021,1,1,5.54,5.53,0.77,233.55,96.13,96.33,12.58,0.33,1.67
19.75,-99.25,2021,1,1,5.54,5.53,0.77,233.55,96.13,96.33,12.58,0.33,1.67
19.75,-98.75,2021,1,1,5.54,5.52,0.77,240.61,96.55,96.48,12.62,0.33,1.68
