LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
25.25,-109.75,2021,1,1,4.02,4.48,0.64,320.3,74.04,82.93,9.16,0.16,0.82
25.25,-109.25,2021,1,1,4.02,4.48,0.64,320.3,74.04,82.93,9.16,0.16,0.82
25.25,-108.75,2021,1,1,4.15,4.51,0.66,309.64,76.09,83.12,9.34,0.16,0.84
25.25,-108.25,2021,1,1,4.15,4.51,0.66,309.64,76.09,83.12,9.34,0.16,0.84
25.25,-107.75,2021,1,1,4.37,4.74,0.7,275.57,78.8,86.0,9.75,0.18,0.88
25.25,-107.25,2021,1,1,4.37,4.74,0.7,275.57,78.8,86.0,9.75,0.18,0.88
25.25,-106.75,2021,1,1,5.03,4.99,0.8,203.98,87.72,87.56,11.12,0.21,1.03
25.25,-106.25,2021,1,1,5.03,4.99,0.8,203.98,87.72,87.56,11.12,0.21,1.03
25.25,-105.75,2021,1,1,5.03,4.99,0.8,212.54,88.31,87.95,11.24,0.21,1.05
25.25,-105.25,2021,1,1,5.03,4.99,0.8,212.54,88.31,87.95,11.24,0.21,1.05
25.25,-104.75,2021,1,1,4.99,4.95,0.8,235.62,88.12,87.77,11.1,0.21,1.05
25.25,-104.25,2021,1,1,4.99,4.95,0.8,235.62,88.12,87.77,11.1,0.21,1.05
25.25,-103.75,2021,1,1,4.91,4.89,0.78,251.15,87.45,87.53,10.91,0.21,1.05
25.25,-103.25,2021,1,1,4.91,4.89,0.78,251.15,87.45,87.53,10.91,0.21,1.05
25.25,-102.75,2021,1,1,4.8,4.89,0.77,256.98,85.42,87.38,10.71,0.21,1.05
25.25,-102.25,2021,1,1,4.8,4.89,0.77,256.98,85.42,87.38,10.71,0.21,1.05
25.25,-101.75,2021,1,1,4.76,4.84,0.76,252.82,83.84,85.9,10.52,0.21,1.06
25.25,-101.25,2021,1,1,4.76,4.84,0.76,252.82,83.84,85.9,10.52,0.21,1.06
25.75,-109.75,2021,1,1,4.02,4.48,0.64,320.3,74.04,82.93,9.16,0.16,0.82
25.75,-109.25,2021,1,1,4.02,4.48,0.64,320.3,74.04,82.93,9.16,0.16,0.82
25.75,-108.75,2021,1,1,4.15,4.51,0.66,309.64,76.09,83.12,9.34,0.16,0.84
25.75,-108.25,2021,1,1,4.15,4.51,0.66,309.64,76.09,83.12,9.34,0.16,0.84
25.75,-107.75,2021,1,1,4.37,4.74,0.7,275.57,78.8,86.0,9.75,0.18,0.88
25.75,-107.25,2021,1,1,4.37,4.74,0.7,275.57,78.8,86.0,9.75,0.18,0.88
25.75,-106.75,2021,1,1,5.03,4.99,0.8,203.98,87.72,87.56,11.12,0.21,1.03
25.75,-106.25,2021,1,1,5.03,4.99,0.8,203.98,87.72,87.56,11.12,0.21,1.03
25.75,-105.75,2021,1,1,5.03,4.99,0.8,212.54,88.31,87.95,11.24,0.21,1.05
25.75,-105.25,2021,1,1,5.03,4.99,0.8,212.54,88.31,87.95,11.24,0.21,1.05
25.75,-104.75,2021,1,1,4.99,4.95,0.8,235.62,88.12,87.77,11.1,0.21,1.05
25.75,-104.25,2021,1,1,4.99,4.95,0.8,235.62,88.12,87.77,11.1,0.21,1.05
25.75,-103.75,2021,1,1,4.91,4.89,0.78,251.15,87.45,87.53,10.91,0.21,1.05
25.75,-103.25,2021,1,1,4.91,4.89,0.78,251.15,87.45,87.53,10.91,0.21,1.05
25.75,-102.75,2021,1,1,4.8,4.89,0.77,256.98,85.42,87.38,10.71,0.21,1.05
25.75,-102.25,2021,1,1,4.8,4.89,0.77,256.98,85.42,87.38,10.71,0.21,1.05
25.75,-101.75,2021,1,1,4.76,4.84,0.76,252.82,83.84,85.9,10.52,0.21,1.06
25.75,-101.25,2021,1,1,4.76,4.84,0.76,252.82,83.84,85.9,10.52,0.21,1.06
26.25,-109.75,2021,1,1,3.4,4.35,0.55,322.53,62.88,80.66,7.92,0.14,0.69
26.25,-109.25,2021,1,1,3.4,4.35,0.55,322.53,62.88,80.66,7.92,0.14,0.69
26.25,-108.75,2021,1,1,2.8,4.43,0.46,296.65,51.02,80.92,6.58,0.12,0.59
26.25,-108.25,2021,1,1,2.8,4.43,0.46,296.65,51.02,80.92,6.58,0.12,0.59
26.25,-107.75,2021,1,1,3.35,4.73,0.55,259.39,59.45,84.48,7.81,0.14,0.71
26.25,-107.25,2021,1,1,3.35,4.73,0.55,259.39,59.45,84.48,7.81,0.14,0.71
