LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
15.75,-96.25,2021,1,1,4.14,5.42,0.52,387.68,78.72,102.27,10.45,0.28,1.5
15.75,-95.75,2021,1,1,4.55,5.35,0.58,395.51,87.55,102.46,11.39,0.3,1.6
15.75,-95.25,2021,1,1,4.55,5.35,0.58,395.51,87.55,102.46,11.39,0.3,1.6
15.75,-94.75,2021,1,1,4.05,5.34,0.52,402.66,80.27,104.3,10.76,0.29,1.57
15.75,-94.25,2021,1,1,4.05,5.34,0.52,402.66,80.27,104.3,10.76,0.29,1.57
15.75,-93.75,2021,1,1,3.72,5.31,0.48,408.02,74.05,104.38,9.98,0.27,1.48
15.75,-93.25,2021,1,1,3.72,5.31,0.48,408.02,74.05,104.38,9.98,0.27,1.48
15.75,-92.75,2021,1,1,3.61,5.59,0.46,357.82,69.23,106.89,9.79,0.27,1.51
15.75,-92.25,2021,1,1,3.61,5.59,0.46,357.82,69.23,106.89,9.79,0.27,1.51
15.75,-91.75,2021,1,1,4.43,5.68,0.56,338.92,83.7,107.52,11.48,0.31,1.7
15.75,-91.25,2021,1,1,4.43,5.68,0.56,338.92,83.7,107.52,11.48,0.31,1.7
15.75,-90.75,2021,1,1,4.99,5.49,0.63,380.12,95.9,105.71,12.45,0.33,1.7
15.75,-90.25,2021,1,1,4.99,5.49,0.63,380.12,95.9,105.71,12.45,0.33,1.7
15.75,-89.75,2021,1,1,5.28,5.42,0.67,382.91,101.94,105.02,12.84,0.32,1.66
15.75,-89.25,2021,1,1,5.28,5.42,0.67,382.91,101.94,105.02,12.84,0.32,1.66
15.75,-88.75,2021,1,1,5.28,5.42,0.67,393.32,102.88,105.79,12.92,0.32,1.62
15.75,-88.25,2021,1,1,5.28,5.42,0.67,393.32,102.88,105.79,12.92,0.32,1.62
15.75,-87.75,2021,1,1,5.16,5.47,0.66,381.97,99.99,106.26,12.66,0.31,1.59
15.75,-87.25,2021,1,1,5.16,5.47,0.66,381.97,99.99,106.26,12.66,0.31,1.59
16.25,-96.25,2021,1,1,4.43,5.61,0.58,307.88,80.23,101.62,10.8,0.29,1.57
16.25,-95.75,2021,1,1,3.89,5.42,0.51,355.33,72.52,100.66,9.78,0.27,1.44
16.25,-95.25,2021,1,1,3.89,5.42,0.51,355.33,72.52,100.66,9.78,0.27,1.44
16.25,-94.75,2021,1,1,3.3,5.34,0.43,384.79,62.89,102.05,8.72,0.23,1.28
16.25,-94.25,2021,1,1,3.3,5.34,0.43,384.79,62.89,102.05,8.72,0.23,1.28
16.25,-93.75,2021,1,1,3.5,5.35,0.45,370.59,66.95,102.8,9.26,0.25,1.37
16.25,-93.25,2021,1,1,3.5,5.35,0.45,370.59,66.95,102.8,9.26,0.25,1.37
16.25,-92.75,2021,1,1,3.65,5.5,0.48,349.49,69.42,104.78,9.73,0.27,1.45
16.25,-92.25,2021,1,1,3.65,5.5,0.48,349.49,69.42,104.78,9.73,0.27,1.45
16.25,-91.75,2021,1,1,4.02,5.39,0.52,365.88,77.35,103.91,10.48,0.27,1.48
16.25,-91.25,2021,1,1,4.02,5.39,0.52,365.88,77.35,103.91,10.48,0.27,1.48
16.25,-90.75,2021,1,1,4.41,5.22,0.57,404.51,85.95,102.2,11.14,0.28,1.49
16.25,-90.25,2021,1,1,4.41,5.22,0.57,404.51,85.95,102.2,11.14,0.28,1.49
16.25,-89.75,2021,1,1,5.06,5.27,0.66,394.34,97.73,102.37,12.27,0.3,1.55
16.25,-89.25,2021,1,1,5.06,5.27,0.66,394.34,97.73,102.37,12.27,0.3,1.55
16.25,-88.75,2021,1,1,5.23,5.31,0.68,392.9,101.99,103.84,12.7,0.3,1.55
16.25,-88.25,2021,1,1,5.23,5.31,0.68,392.9,101.99,103.84,12.7,0.3,1.55
16.25,-87.75,2021,1,1,5.34,5.32,0.7,401.76,104.89,104.82,13.14,0.31,1.58
16.25,-87.25,2021,1,1,5.34,5.32,0.7,401.76,104.89,104.82,13.14,0.31,1.58
16.75,-96.25,2021,1,1,4.43,5.61,0.58,307.88,80.23,101.62,10.8,0.29,1.57
16.75,-95.75,2021,1,1,3.89,5.42,0.51,355.33,72.52,100.66,9.78,0.27,1.44
16.75,-95.25,2021,1,1,3.89,5.42,0.51,355.33,72.52,100.66,9.78,0.27,1.44
16.75,-94.75,2021,1,1,3.3,5.34,0.43,384.79,62.89,102.05,8.72,0.23,1.28
16.75,-94.25,2021,1,1,3.3,5.34,0.43,384.79,62.89,102.05,8.72,0.23,1.28
16.75,-93.75,2021,1,1,3.5,5.35,0.45,370.59,66.95,102.8,9.26,0.25,1.37
16.75,-93.25,2021,1,1,3.5,5.35,0.45,370.59,66.95,102.8,9.26,0.25,1.37
16.75,-92.75,2021,1,1,3.65,5.5,0.48,349.49,69.42,104.78,9.73,0.27,1.45
16.75,-92.25,2021,1,1,3.65,5.5,0.48,349.49,69.42,104.78,9.73,0.27,1.45
16.75,-91.75,2021,1,1,4.02,5.39,0.52,365.88,77.35,103.91,10.48,0.27,1.48
16.75,-91.25,2021,1,1,4.02,5.39,0.52,365.88,77.35,103.91,10.48,0.27,1.48
16.75,-90.75,2021,1,1,4.41,5.22,0.57,404.51,85.95,102.2,11.14,0.28,1.49
16.75,-90.25,2021,1,1,4.41,5.22,0.57,404.51,85.95,102.2,11.14,0.28,1.49
16.75,-89.75,2021,1,1,5.06,5.27,0.66,394.34,97.73,102.37,12.27,0.3,1.55
16.75,-89.25,2021,1,1,5.06,5.27,0.66,394.34,97.73,102.37,12.27,0.3,1.55
16.75,-88.75,2021,1,1,5.23,5.31,0.68,392.9,101.99,103.84,12.7,0.3,1.55
16.75,-88.25,2021,1,1,5.23,5.31,0.68,392.9,101.99,103.84,12.7,0.3,1.55
16.75,-87.75,2021,1,1,5.34,5.32,0.7,401.76,104.89,104.82,13.14,0.31,1.58
16.75,-87.25,2021,1,1,5.34,5.32,0.7,401.76,104.89,104.82,13.14,0.31,1.58
17.25,-96.25,2021,1,1,4.53,5.29,0.6,328.71,82.95,97.04,10.94,0.29,1.55
17.25,-95.75,2021,1,1,3.83,5.03,0.51,384.93,72.71,95.97,9.53,0.25,1.33
17.25,-95.25,2021,1,1,3.83,5.03,0.51,384.93,72.71,95.97,9.53,0.25,1.33
17.25,-94.75,2021,1,1,3.01,5.08,0.4,388.05,57.36,96.8,7.8,0.2,1.09
17.25,-94.25,2021,1,1,3.01,5.08,0.4,388.05,57.36,96.8,7.8,0.2,1.09
17.25,-93.75,2021,1,1,2.75,5.06,0.37,385.84,53.17,97.02,7.42,0.2,1.06
17.25,-93.25,2021,1,1,2.75,5.06,0.37,385.84,53.17,97.02,7.42,0.2,1.06
17.25,-92.75,2021,1,1,3.52,4.97,0.47,391.44,67.69,95.26,8.94,0.23,1.23
17.25,-92.25,2021,1,1,3.52,4.97,0.47,391.44,67.69,95.26,8.94,0.23,1.23
17.25,-91.75,2021,1,1,3.28,4.92,0.44,405.55,63.55,95.0,8.54,0.22,1.16
17.25,-91.25,2021,1,1,3.28,4.92,0.44,405.55,63.55,95.0,8.54,0.22,1.16
17.25,-90.75,2021,1,1,3.97,5.08,0.52,403.88,76.91,99.19,10.2,0.25,1.35
17.25,-90.25,2021,1,1,3.97,5.08,0.52,403.88,76.91,99.19,10.2,0.25,1.35
17.25,-89.75,2021,1,1,4.19,5.09,0.55,396.26,81.1,99.16,10.64,0.26,1.38
17.25,-89.25,2021,1,1,4.19,5.09,0.55,396.26,81.1,99.16,10.64,0.26,1.38
17.25,-88.75,2021,1,1,4.76,5.12,0.63,405.97,92.92,100.47,11.73,0.28,1.44
17.25,-88.25,2021,1,1,4.76,5.12,0.63,405.97,92.92,100.47,11.73,0.28,1.44
17.25,-87.75,2021,1,1,5.0,5.13,0.66,403.83,97.99,100.8,12.37,0.29,1.48
17.25,-87.25,2021,1,1,5.0,5.13,0.66,403.83,97.99,100.8,12.37,0.29,1.48
17.75,-96.25,2021,1,1,4.53,5.29,0.6,328.71,82.95,97.04,10.94,0.29,1.55
17.75,-95.75,2021,1,1,3.83,5.03,0.51,384.93,72.71,95.97,9.53,0.25,1.33
17.75,-95.25,2021,1,1,3.83,5.03,0.51,384.93,72.71,95.97,9.53,0.25,1.33
17.75,-94.75,2021,1,1,3.01,5.08,0.4,388.05,57.36,96.8,7.8,0.2,1.09
17.75,-94.25,2021,1,1,3.01,5.08,0.4,388.05,57.36,96.8,7.8,0.2,1.09
17.75,-93.75,2021,1,1,2.75,5.06,0.37,385.84,53.17,97.02,7.42,0.2,1.06
17.75,-93.25,2021,1,1,2.75,5.06,0.37,385.84,53.17,97.02,7.42,0.2,1.06
17.75,-92.75,2021,1,1,3.52,4.97,0.47,391.44,67.69,95.26,8.94,0.23,1.23
17.75,-92.25,2021,1,1,3.52,4.97,0.47,391.44,67.69,95.26,8.94,0.23,1.23
17.75,-91.75,2021,1,1,3.28,4.92,0.44,405.55,63.55,95.0,8.54,0.22,1.16
17.75,-91.25,2021,1,1,3.28,4.92,0.44,405.55,63.55,95.0,8.54,0.22,1.16
17.75,-90.75,2021,1,1,3.97,5.08,0.52,403.88,76.91,99.19,10.2,0.25,1.35
17.75,-90.25,2021,1,1,3.97,5.08,0.52,403.88,76.91,99.19,10.2,0.25,1.35
